comarca,serventia,codigo_serventia,colunas_nao_correspondentes
MONTES CLAROS DE GOIAS,VARA JUDICIAL,11559,
MONTIVIDIU,VARA JUDICIAL,13737,
MOSSAMEDES,VARA JUDICIAL,11431,
NAZARIO,VARA JUDICIAL,11566,
NOVA CRIXAS,VARA JUDICIAL,13175,
ORIZONA,VARA JUDICIAL,11579,
PARANAIGUARA,VARA JUDICIAL,11583,
PARAUNA,VARA JUDICIAL,11585,
PETROLINA DE GOIAS,VARA JUDICIAL,11586,
PIRANHAS,VARA JUDICIAL,11598,
PONTALINA,VARA JUDICIAL,11612,
RIALMA,VARA JUDICIAL,11615,
SANCLERLANDIA,VARA JUDICIAL,11620,
SANTA CRUZ DE GOIAS,VARA JUDICIAL,11625,
SANTA TEREZINHA DE GOIAS,VARA JUDICIAL,11626,
SAO DOMINGOS,VARA JUDICIAL,11629,
SAO SIMAO,VARA JUDICIAL,12803,
SERRANOPOLIS,VARA JUDICIAL,13690,
SILVANIA,VARA JUDICIAL,11596,
TAQUARAL DE GOIAS,VARA JUDICIAL,11445,
TURVANIA,VARA JUDICIAL,11599,
URUANA,VARA JUDICIAL,11601,
VARJAO,VARA JUDICIAL,11611,
VIANOPOLIS,VARA JUDICIAL,11614,
ACREUNA,"1a VARA JUDICIAL (FAMILIA E SUCESSOES, INFANCIA E JUVENTUDE, CIVEL E JUIZADO ESPECIAL CIVEL)",81436,
ACREUNA,"2a VARA JUDICIAL (FAZENDAS PUBLICAS, CRIMINAL, EXECUCAO PENAL E JUIZADO CRIMINAL)",81437,
AGUAS LINDAS DE GOIAS,"1a VARA CIVEL, FAMILIA E SUCESSOES E DA INFANCIA E DA JUVENTUDE",87915,
AGUAS LINDAS DE GOIAS,"1a VARA CRIMINAL (CRIMES DOLOSOS CONTRA A VIDA, PRES. TRIB. JURI E EXECUCOES PENAIS)",14595,
AGUAS LINDAS DE GOIAS,"1a VARA DE FAZENDAS PUBLICAS, REGISTROS PUBLICOS E AMBIENTAL",73091,
