comarca,serventia,codigo_serventia,colunas_nao_correspondentes
PLANALTINA,JUIZADO ESPECIAL CIVEL E CRIMINAL,11608,
VALPARAISO DE GOIAS,JUIZADO ESPECIAL CIVEL E CRIMINAL,11609,
CAMPINORTE,VARA JUDICIAL,11610,
VARJAO,VARA JUDICIAL,11611,
PONTALINA,VARA JUDICIAL,11612,
VIANOPOLIS,VARA JUDICIAL,11614,
RIALMA,VARA JUDICIAL,11615,
CAVALCANTE,VARA JUDICIAL,11616,
CIDADE OCIDENTAL,JUIZADO ESPECIAL CIVEL E CRIMINAL,11619,
SANCLERLANDIA,VARA JUDICIAL,11620,
CORUMBA DE GOIAS,VARA JUDICIAL,11621,
JATAI,1a VARA CRIMINAL (CRIMES EM GERAL E EXECUCOES PENAIS),11622,
CORUMBAIBA,VARA JUDICIAL,11623,
SANTA CRUZ DE GOIAS,VARA JUDICIAL,11625,
SANTA TEREZINHA DE GOIAS,VARA JUDICIAL,11626,
SANTO ANTONIO DO DESCOBERTO,JUIZADO ESPECIAL CIVEL E CRIMINAL,11628,
SAO DOMINGOS,VARA JUDICIAL,11629,
EDEIA,VARA JUDICIAL,11632,
FAZENDA NOVA,VARA JUDICIAL,11636,
FIRMINOPOLIS,VARA JUDICIAL,11637,
GOIANAPOLIS,VARA JUDICIAL,11639,
GOIANDIRA,VARA JUDICIAL,11640,
IACIARA,VARA JUDICIAL,11645,
TRINDADE,1a VARA (CIVEL E DA INF. E DA JUV),12570,
BARRO ALTO,VARA JUDICIAL,12713,
HIDROLANDIA,"1a VARA JUDICIAL (FAMILIA E SUCESSOES, INFANCIA E JUVENTUDE, CIVEL E JUIZADO ESPECIAL CIVEL)",12715,
SAO SIMAO,VARA JUDICIAL,12803,
ESTRELA DO NORTE,VARA JUDICIAL,12842,
FORMOSO,VARA JUDICIAL,12964,
CIDADE OCIDENTAL,"1a VARA (CIVEL, DE FAMILIA, SUCESSOES E DA INFANCIA E DA JUVENTUDE)",13161,
